evaluation_split,method,direction_id,alpha,clean_model_nll,dist_1,dist_2,dist_3,repetition_rate,kl,activation_norm_ratio,concept_score,max_feature_activation,feature_active_fraction
new_unseen_v3_holdout,conditioned_kl,7812,0.0,2.4998932480812073,0.821875,0.9743589743589745,0.9967105263157895,0.003289473684210526,0.0,1.0,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_kl,7812,0.1,2.4374300241470337,0.809375,0.9743589743589743,0.993421052631579,0.006578947368421052,0.012057585583534092,1.0120951533317566,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_kl,7812,0.25,2.5414083003997803,0.784375,0.9583333333333334,0.9802631578947368,0.019736842105263157,0.06865364860277623,1.0436933934688568,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_kl,7812,0.5,3.568735182285309,0.7958881578947369,0.9455128205128205,0.9703947368421053,0.029605263157894735,0.5910891595844987,1.233905851840973,0.024055635556578636,0.9622254371643066,0.0031250000465661287
new_unseen_v3_holdout,conditioned_kl,7812,1.0,5.589292764663696,0.4375,0.8012820512820513,0.9013157894736842,0.09868421052631579,1.472533032298088,1.7391792684793472,0.5372080598026514,18.379265069961548,0.03750000079162419
new_unseen_v3_holdout,conditioned_kl,7812,2.0,6.180703520774841,0.428125,0.7467948717948718,0.8256578947368421,0.1743421052631579,1.4151964709162712,3.3670902252197266,0.18815995566546917,6.334775924682617,0.02812500041909516
new_unseen_v3_holdout,conditioned_kl,11750,0.0,2.4998932480812073,0.821875,0.9743589743589745,0.9967105263157895,0.003289473684210526,0.0,1.0,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_kl,11750,0.1,2.4669650197029114,0.8125,0.9615384615384616,0.9835526315789473,0.01644736842105263,0.02659523463808,1.0203914418816566,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_kl,11750,0.25,2.606479674577713,0.765625,0.9358974358974359,0.9736842105263158,0.02631578947368421,0.10177457006648183,1.0764279216527939,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_kl,11750,0.5,3.0940441489219666,0.8,0.9807692307692307,0.9967105263157895,0.003289473684210526,0.3702572360634804,1.2210863083600998,0.026374242734164,0.842478483915329,0.009375000139698386
new_unseen_v3_holdout,conditioned_kl,11750,1.0,4.087613165378571,0.75,0.9423076923076923,0.9769736842105263,0.023026315789473683,0.8429435826838017,1.6187629699707031,0.33809574879705906,12.993083238601685,0.018750000512227416
new_unseen_v3_holdout,conditioned_kl,11750,2.0,5.02241837978363,0.703125,0.9391025641025641,0.9835526315789473,0.01644736842105263,1.2811578530818224,2.6521352529525757,0.09448425588198006,3.7422699630260468,0.018750000279396772
new_unseen_v3_holdout,conditioned_kl,16777,0.0,2.4998932480812073,0.821875,0.9743589743589745,0.9967105263157895,0.003289473684210526,0.0,1.0,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_kl,16777,0.1,2.637710154056549,0.8,0.9583333333333333,0.9835526315789473,0.01644736842105263,0.04592253783414435,1.0137546807527542,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_kl,16777,0.25,3.0307613909244537,0.76875,0.9487179487179487,0.9802631578947368,0.019736842105263157,0.22916363025251485,1.0391084253787994,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_kl,16777,0.5,3.4794338643550873,0.803125,0.9615384615384616,0.9901315789473684,0.009868421052631578,0.7317318804562092,1.139943152666092,0.000546503288205713,0.02186013013124466,0.0031250000465661287
new_unseen_v3_holdout,conditioned_kl,16777,1.0,4.717391490936279,0.759375,0.967948717948718,0.9967105263157895,0.003289473684210526,1.031009003520012,1.5333995819091797,0.007585207233205438,0.11231501027941704,0.015625000465661287
new_unseen_v3_holdout,conditioned_kl,16777,2.0,5.798252761363983,0.671875,0.967948717948718,1.0,0.0,0.9825487732887268,2.58679062128067,0.0017236340790987015,0.04915213584899902,0.0062500000931322575
new_unseen_v3_holdout,conditioned_kl,22759,0.0,2.4998932480812073,0.821875,0.9743589743589745,0.9967105263157895,0.003289473684210526,0.0,1.0,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_kl,22759,0.1,2.63776695728302,0.803125,0.9615384615384615,0.9802631578947368,0.019736842105263157,0.011591396410949528,1.0120305120944977,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_kl,22759,0.25,2.7157605290412903,0.809375,0.9871794871794872,0.9967105263157895,0.003289473684210526,0.036017158802906124,1.0685376971960068,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_kl,22759,0.5,3.107239216566086,0.71875,0.907051282051282,0.944078947368421,0.05592105263157894,0.2821434307843447,1.254918783903122,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_kl,22759,1.0,5.147078096866608,0.525,0.842948717948718,0.944078947368421,0.05592105263157895,0.730084840208292,3.8802219927310944,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_kl,22759,2.0,6.22245579957962,0.54375,0.9615384615384616,1.0,0.0,1.280679814517498,35.042956590652466,0.09054075474887213,2.727603642269969,0.037500000558793545
new_unseen_v3_holdout,conditioned_kl_retention,7812,0.0,2.4998932480812073,0.821875,0.9743589743589745,0.9967105263157895,0.003289473684210526,0.0,1.0,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_kl_retention,7812,0.1,2.467413753271103,0.803125,0.9743589743589743,0.9901315789473684,0.009868421052631578,0.017096670082537457,1.0133610218763351,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_kl_retention,7812,0.25,2.7882868945598602,0.8125,0.9871794871794872,1.0,0.0,0.1871083759033354,1.0578305125236511,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_kl_retention,7812,0.5,3.4666243493556976,0.784375,0.9423076923076923,0.9703947368421053,0.029605263157894735,0.7671820128089166,1.1773806363344193,0.010809995234012604,0.43239980936050415,0.0031250000465661287
new_unseen_v3_holdout,conditioned_kl_retention,7812,1.0,4.57666289806366,0.36875,0.5961538461538461,0.7171052631578947,0.28289473684210525,0.7816784046590328,1.7775979340076447,0.37286632088944316,5.504468709230423,0.05312500009313226
new_unseen_v3_holdout,conditioned_kl_retention,7812,2.0,6.258546203374863,0.40937500000000004,0.7275641025641025,0.8125,0.1875,1.5486558340489864,3.1944978833198547,0.497294120490551,16.89618718624115,0.03437500074505806
new_unseen_v3_holdout,conditioned_kl_retention,11750,0.0,2.4998932480812073,0.821875,0.9743589743589745,0.9967105263157895,0.003289473684210526,0.0,1.0,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_kl_retention,11750,0.1,2.467575579881668,0.76875,0.9391025641025641,0.9703947368421053,0.029605263157894735,0.03847717895405367,1.0184978246688843,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_kl_retention,11750,0.25,2.7841332852840424,0.809375,0.9743589743589743,0.9901315789473684,0.009868421052631578,0.09395033027976751,1.0667120665311813,0.011453326791524887,0.4581330716609955,0.0031250000465661287
new_unseen_v3_holdout,conditioned_kl_retention,11750,0.5,2.958060920238495,0.79375,0.9615384615384616,0.9967105263157895,0.003289473684210526,0.3401200519874692,1.218822568655014,0.14759898278862238,5.903959423303604,0.0062500000931322575
new_unseen_v3_holdout,conditioned_kl_retention,11750,1.0,4.12538605928421,0.759375,0.967948717948718,0.9967105263157895,0.003289473684210526,1.0324235446751118,1.582111194729805,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_kl_retention,11750,2.0,4.934417724609375,0.678125,0.9455128205128205,0.9901315789473685,0.009868421052631578,0.9217944126576185,2.6118522584438324,0.1759057343006134,7.0206087827682495,0.009375000139698386
new_unseen_v3_holdout,conditioned_kl_retention,16777,0.0,2.4998932480812073,0.821875,0.9743589743589745,0.9967105263157895,0.003289473684210526,0.0,1.0,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_kl_retention,16777,0.1,2.6895777881145477,0.75625,0.9423076923076923,0.9736842105263158,0.02631578947368421,0.12213749904185534,1.0061782822012901,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_kl_retention,16777,0.25,3.162211388349533,0.796875,0.9775641025641025,0.9967105263157895,0.003289473684210526,0.16496438346803188,1.0477367490530014,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_kl_retention,16777,0.5,3.7627137899398804,0.796875,0.9743589743589743,1.0,0.0,0.5934701934456825,1.1383302211761475,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_kl_retention,16777,1.0,4.962238550186157,0.753125,0.983974358974359,0.9967105263157895,0.003289473684210526,1.1993252038955688,1.5833593904972076,0.016444383189082146,0.2855775058269501,0.012500000186264515
new_unseen_v3_holdout,conditioned_kl_retention,16777,2.0,5.857071280479431,0.653125,0.9807692307692307,1.0,0.0,1.6948955357074738,2.5700983107089996,0.0007336008711718023,0.02934403531253338,0.0031250000465661287
new_unseen_v3_holdout,conditioned_kl_retention,22759,0.0,2.4998932480812073,0.821875,0.9743589743589745,0.9967105263157895,0.003289473684210526,0.0,1.0,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_kl_retention,22759,0.1,2.6459090411663055,0.796875,0.9775641025641025,0.9901315789473684,0.009868421052631578,0.0062538744386984035,1.0124191343784332,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_kl_retention,22759,0.25,2.543455183506012,0.8125,0.9551282051282051,0.9802631578947368,0.019736842105263157,0.053389946348033845,1.0613769590854645,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_kl_retention,22759,0.5,3.2087947726249695,0.725,0.9134615384615384,0.9736842105263157,0.02631578947368421,0.33943222276866436,1.266922578215599,0.0061224899254739285,0.24489958584308624,0.0062500000931322575
new_unseen_v3_holdout,conditioned_kl_retention,22759,1.0,5.382319450378418,0.5375,0.8179487179487179,0.9168233082706767,0.08317669172932331,0.8909429460763931,5.347667008638382,0.004414460156112909,0.17657840251922607,0.0031250000465661287
new_unseen_v3_holdout,conditioned_kl_retention,22759,2.0,6.162716865539551,0.54375,0.967948717948718,1.0,0.0,1.2337931171059608,35.1736204624176,0.10109433473553509,2.0580909810960293,0.04687500046566129
new_unseen_v3_holdout,conditioned_reconstruction,7812,0.0,2.4998932480812073,0.821875,0.9743589743589745,0.9967105263157895,0.003289473684210526,0.0,1.0,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_reconstruction,7812,0.1,2.6085020899772644,0.85625,0.9935897435897436,1.0,0.0,0.0031785713508725166,1.0150717347860336,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_reconstruction,7812,0.25,2.471074879169464,0.734375,0.9262820512820513,0.9638157894736842,0.03618421052631579,0.03568246169015765,1.0517018735408783,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_reconstruction,7812,0.5,2.826386511325836,0.796875,0.9423076923076923,0.9703947368421053,0.029605263157894735,0.20344690163619816,1.1378872245550156,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_reconstruction,7812,1.0,5.74913614988327,0.51875,0.875,0.9769736842105263,0.023026315789473683,0.6132892016321421,1.4692607372999191,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_reconstruction,7812,2.0,5.084707707166672,0.33437500000000003,0.6762820512820513,0.7598684210526316,0.24013157894736842,1.3581682965159416,2.272824227809906,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_reconstruction,11750,0.0,2.4998932480812073,0.821875,0.9743589743589745,0.9967105263157895,0.003289473684210526,0.0,1.0,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_reconstruction,11750,0.1,2.5861367285251617,0.821875,0.9711538461538461,0.9901315789473685,0.009868421052631578,0.008899301936764914,1.0215692818164825,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_reconstruction,11750,0.25,2.704538255929947,0.80625,0.9807692307692307,0.9967105263157895,0.003289473684210526,0.01867614552611485,1.0721959471702576,0.14136762917041779,5.654705047607422,0.0031250000465661287
new_unseen_v3_holdout,conditioned_reconstruction,11750,0.5,2.8706717789173126,0.81875,0.9807692307692308,0.993421052631579,0.006578947368421052,0.1493693881202489,1.177070513367653,0.008506718091666698,0.34026870131492615,0.0031250000465661287
new_unseen_v3_holdout,conditioned_reconstruction,11750,1.0,3.727792054414749,0.675,0.9006410256410257,0.9638157894736842,0.03618421052631579,0.616298102773726,1.469195157289505,0.00977818202227354,0.3347974419593811,0.0062500000931322575
new_unseen_v3_holdout,conditioned_reconstruction,11750,2.0,5.361993491649628,0.38125,0.8173076923076923,0.9802631578947368,0.019736842105263157,0.7954728938639164,2.1807374358177185,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_reconstruction,16777,0.0,2.4998932480812073,0.821875,0.9743589743589745,0.9967105263157895,0.003289473684210526,0.0,1.0,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_reconstruction,16777,0.1,2.598594695329666,0.809375,0.9807692307692308,0.9967105263157895,0.003289473684210526,0.024794061348075047,1.0128289461135864,0.0007555736810900271,0.030222946777939796,0.0031250000465661287
new_unseen_v3_holdout,conditioned_reconstruction,16777,0.25,2.791643798351288,0.79375,0.9711538461538461,0.9901315789473684,0.009868421052631578,0.47201407235115767,1.0580214709043503,0.0005002677789889276,0.020010709762573242,0.0031250000465661287
new_unseen_v3_holdout,conditioned_reconstruction,16777,0.5,3.921470880508423,0.80625,0.9647435897435898,0.9901315789473684,0.009868421052631578,0.9709570463746786,1.111609399318695,0.0,0.0,0.0
new_unseen_v3_holdout,conditioned_reconstruction,16777,1.0,4.748018264770508,0.765625,0.9743589743589743,1.0,0.0,1.0030744187533855,1.4505257457494736,0.012009096331894398,0.3845686763525009,0.012500000419095159
new_unseen_v3_holdout,conditioned_reconstruction,16777,2.0,5.474426209926605,0.621875,0.9487179487179487,0.993421052631579,0.006578947368421052,1.3305451050400734,2.28142249584198,0.024622202152386308,0.5505593866109848,0.04375000135041773
