method,strength,mean_semantic_concept_score,median_semantic_concept_score,std_semantic_concept_score,mean_target_sae_activation,mean_clean_model_continuation_nll,mean_dist_1,mean_dist_2,mean_dist_3,mean_repetition_rate,num_samples,raw_semantic_concept_score,semantic_concept_delta_vs_raw,valid_semantic_retention_ratio,semantic_retention_ratio
conditioned_kl,0.0,0.0014910567172137235,0.00040135222661774606,0.002388342054496873,0.0,2.4889743104577065,0.8125,0.967948717948718,0.9851973684210527,0.014802631578947368,16,0.001491056444365313,2.7284841053187847e-10,False,
conditioned_kl,0.1,0.0036286196623223077,0.0010798097355291247,0.010114790860521873,0.004632087890058756,2.513803146779537,0.759375,0.9086538461538461,0.9375,0.0625,16,0.013452836783471867,-0.009824217121149559,True,0.2697289590832191
conditioned_kl,0.25,0.09569843950794166,0.0013794985134154558,0.26739895818520015,0.05999016691930592,2.6967567652463913,0.7796875,0.9375,0.96875,0.03125,16,0.04501325882802121,0.05068518067992045,True,2.126005581457
conditioned_kl,0.5,0.133739917814637,0.0023311276454478502,0.3090179080303234,0.1471656288485974,3.0365516915917397,0.6906249999999999,0.8605769230769231,0.9013157894736842,0.09868421052631579,16,0.03685304543978418,0.09688687237485283,True,3.629005858773885
conditioned_kl,1.0,0.3183181630556646,0.045522693544626236,0.41688038085381135,0.0725713751744479,4.305399864912033,0.584375,0.8605769230769231,0.9358552631578947,0.06414473684210525,16,0.2720544514886569,0.046263711567007704,True,1.1700531320618242
conditioned_kl,2.0,0.35709470430447254,0.2616325914859772,0.3791863764999764,0.012408706359565258,5.04362054169178,0.4453125,0.8269230769230769,0.955592105263158,0.044407894736842105,16,0.08882134496525396,0.2682733593392186,True,4.020370378811135
conditioned_kl_retention,0.0,0.0014910567172137235,0.00040135222661774606,0.002388342054496873,0.0,2.4889743104577065,0.8125,0.967948717948718,0.9851973684210527,0.014802631578947368,16,0.001491056444365313,2.7284841053187847e-10,False,
conditioned_kl_retention,0.1,0.04894040118506382,0.00151564902625978,0.17618010356414576,0.004632087890058756,2.6062732562422752,0.7859375,0.9503205128205128,0.9720394736842105,0.02796052631578947,16,0.013452836783471867,0.03548756440159195,True,3.6379242514256855
conditioned_kl_retention,0.25,0.04384118196412601,0.0006252222810871899,0.16847092107020611,0.021932914678473026,2.6767351031303406,0.790625,0.9567307692307693,0.9819078947368421,0.018092105263157895,16,0.04501325882802121,-0.0011720768638951995,True,0.9739615194631149
conditioned_kl_retention,0.5,0.3027740610514229,0.004655966185964644,0.45034032269382973,0.16937355429399759,3.1991948038339615,0.73125,0.9198717948717949,0.9605263157894737,0.039473684210526314,16,0.03685304543978418,0.2659210156116387,True,8.215713448869208
conditioned_kl_retention,1.0,0.49692287619473063,0.46806201338768005,0.407262093856576,0.15435807267203927,4.375504732131958,0.6171875,0.8525641025641025,0.9243421052631579,0.0756578947368421,16,0.2720544514886569,0.2248684247060737,True,1.826556681853998
conditioned_kl_retention,2.0,0.4595861935231369,0.43967171013355255,0.4128841150192853,0.0,5.303695857524872,0.459375,0.8621794871794872,0.9720394736842105,0.02796052631578947,16,0.08882134496525396,0.37076484855788294,True,5.1742764501361975
conditioned_reconstruction,0.0,0.0014910555457845476,0.00040135222661774606,0.0023883377198320324,0.0,2.4889743104577065,0.8125,0.967948717948718,0.9851973684210527,0.014802631578947368,16,0.001491056444365313,-8.985807653516531e-10,False,
conditioned_reconstruction,0.1,0.0014390610422196914,0.0005450011813081801,0.0020735713994801063,0.00740915397182107,2.538576513528824,0.8109375,0.9743589743589743,0.9950657894736842,0.004934210526315789,16,0.013452836783471867,-0.012013775741252175,True,0.10697082447233133
conditioned_reconstruction,0.25,0.025831708716168578,0.0005318248004186898,0.07883106241745359,0.0071502081118524075,2.6421677321195602,0.815625,0.9711538461538461,0.9950657894736842,0.004934210526315789,16,0.04501325882802121,-0.01918155011185263,True,0.5738688863843842
conditioned_reconstruction,0.5,0.28589946284728285,0.007364578312262893,0.4035148810455896,0.06823804834857583,2.8838150054216385,0.796875,0.9599358974358975,0.9819078947368421,0.018092105263157895,16,0.03685304543978418,0.24904641740749867,True,7.757824609486524
conditioned_reconstruction,1.0,0.2858832530619111,0.037055171094834805,0.41688413148837866,0.053250463446602225,4.2146268635988235,0.6203125,0.9086538461538461,0.9802631578947368,0.019736842105263157,16,0.2720544514886569,0.013828801573254168,True,1.0508310064311914
conditioned_reconstruction,2.0,0.1308313429562986,0.022617009468376637,0.23486462039324837,0.0,4.980598509311676,0.3328125,0.7419871794871795,0.9325657894736842,0.06743421052631579,16,0.08882134496525396,0.042009997991044656,True,1.4729718741309148
raw,0.0,0.001491056444365313,0.00040135222661774606,0.0023883403525780072,0.0,2.4889743104577065,0.8125,0.967948717948718,0.9851973684210527,0.014802631578947368,16,0.001491056444365313,0.0,False,
raw,0.1,0.013452836783471867,0.000572856719372794,0.045075604642839905,0.003911683335900307,2.5648683458566666,0.8078125,0.9743589743589743,0.993421052631579,0.006578947368421052,16,0.013452836783471867,0.0,True,1.0
raw,0.25,0.04501325882802121,0.0015976979047991335,0.12672418150728385,0.00017699427553452551,2.7094101160764694,0.80625,0.9759615384615384,0.9917763157894737,0.008223684210526315,16,0.04501325882802121,0.0,True,1.0
raw,0.5,0.03685304543978418,0.0026812892174348235,0.07895853175794551,0.06143113283906132,2.892490565776825,0.7953125,0.9599358974358975,0.9901315789473685,0.009868421052631578,16,0.03685304543978418,0.0,True,1.0
raw,1.0,0.2720544514886569,0.17478132992982864,0.3249250013914866,0.004330265801399946,4.403630778193474,0.6171875,0.9182692307692308,0.9786184210526316,0.021381578947368418,16,0.2720544514886569,0.0,True,1.0
raw,2.0,0.08882134496525396,0.031678566709160805,0.1505413584436455,0.0,5.197160720825195,0.3859375,0.8397435897435898,0.975328947368421,0.024671052631578948,16,0.08882134496525396,0.0,True,1.0
sae_calibrated,0.0,0.07062389725842877,0.0005978728004265577,0.2406319444799101,0.046863965690135956,2.629550814628601,0.821875,0.9855769230769231,0.9983552631578947,0.001644736842105263,16,0.001491056444365313,0.06913284081406346,False,
sae_calibrated,0.1,0.0021205371708674647,0.0008177159761544317,0.0027475776026319393,0.0,2.7401740103960037,0.790625,0.9631410256410257,0.9901315789473684,0.009868421052631578,16,0.013452836783471867,-0.011332299612604402,True,0.15762751046476334
sae_calibrated,0.25,0.051823869294821634,0.0013569415896199644,0.1987618138661169,0.0038452125154435635,2.691783830523491,0.8171875,0.9855769230769231,0.9950657894736842,0.004934210526315789,16,0.04501325882802121,0.006810610466800426,True,1.1513023194526133
sae_calibrated,0.5,0.12527436551135906,0.010187178966589272,0.30231084547724113,0.08273370030792648,2.968601867556572,0.7796875,0.9631410256410257,0.9917763157894737,0.008223684210526315,16,0.03685304543978418,0.08842132007157488,True,3.3992947941317464
sae_calibrated,1.0,0.27981383362566703,0.028837417252361774,0.39751150441818806,0.013520899694412947,4.631180450320244,0.5421875,0.8717948717948718,0.975328947368421,0.024671052631578948,16,0.2720544514886569,0.007759382137010107,True,1.0285214305244832
sae_calibrated,2.0,0.15052117104642093,0.02663847990334034,0.27976086530038113,0.0,4.5601788610219955,0.3296875,0.7371794871794871,0.9177631578947368,0.08223684210526315,16,0.08882134496525396,0.061699826081166975,True,1.694650887185995
